,source_sentence,label,human,time,location
2059,"The daughter of William Meteyard, a surgeon, and his wife Mary, daughter of Zebedee Beckham of Great Yarmouth, she was born on 21 June 1816, in Lime Street, Liverpool.",birth,she,21 June 1816,Liverpool
2060,"Chezidek (born Desbert Johnson, 1973, Saint Ann Parish, Jamaica) is a roots reggae singer.",birth,Chezidek,1973,Jamaica
2061,"After studying drama at the University of Manchester, he met CP Lee and Bob Harding, and the three of them formed the band Alberto y Lost Trios Paranoias in 1972, with Hibbert on vocals and bass.",start org,CP Lee,1972,University of Manchester
2062,"Pedro joined Spain's Second Regiment of the Light Infantry on July 17, 1762 to fight as a cadet in the campaign of Portugal during the Seven Years' War when he was only fifteen years old.",military,Pedro,"July 17, 1762",Spain
2063,Krasnopolskiy was born in Svedlorsk on 14 June 1933 to artist Arkady Vladimirovich Krasnopolsky.,birth,Krasnopolskiy,14 June 1933,Svedlorsk
2064,James Mackinlay was born on 17 December 1850 in Guildford.,birth,James Mackinlay,17 December 1850,Guildford
2065,"He died in a nursing home in the Cleveland suburb of Olmsted Falls on August 22, 2009, from complications from a stroke he had suffered in 2005.",death,he,"August 22, 2009",Cleveland
2066,William Morton Meredith (1835–1917) was an official in the United States Department of the Treasury who was Director of the Bureau of Engraving and Printing from 1889 to 1893 and from 1900 to 1906.,career,William Morton Meredith,1889 to 1893,United States
2067,Neufeld was given the Lifetime Achievement Award at the 2014 Israel Film Festival.,assembly,Neufeld,2014,Israel Film Festival
2068,"Shortly after, Pickman and his wife decided to launch Baltimore's Kackad Russian Newspaper in June 1995.",start org,Pickman,June 1995,Baltimore
2069,At the 2022 Open 13 Molchanov won his first title partnering Andrey Rublev in Marseilles.,competition,Molchanov,2022,Marseilles
2070,"Compton's London debut was in another Sheridan play, The Rivals, as Julia at the Gaiety Theatre in May 1877.",performance,Compton,May 1877,Gaiety Theatre
2071,"William Golden was born in lower Manhattan on March 31, 1911, the youngest of twelve children.",birth,William Golden,"March 31, 1911",Manhattan
2072,"Beck was born July 9, 1861, in Philadelphia, Pennsylvania, the son of Margaretta C. (née Darling) and James Nathan Beck.",birth,Beck,"July 9, 1861",Philadelphia
2073,"3.Sardar Vickas Hasan Mokal son of Sardar Hasan Akhtar Mokal was born on June 23, 1976 at Faisalabad.",give birth,Hasan Akhtar Mokal,"June 23, 1976",Faisalabad
2074,"By 1877, Berlin's College was still only a plan, and he briefly took up a position teaching at the University of Halle-Wittenberg.",career,he,1877,University of Halle-Wittenberg
2075,"In 1943, he joined Calcutta Aliya Madrasah.",career,he,1943,Calcutta Aliya Madrasah
2076,"Bramble joined Cornell University in 1968, where he worked to develop analytical methods for partial differential equations.",career,he,1968,Cornell University
2077,"Between 1953-54 she designed and built a house known as Cobnuts, Sparepenny Lane, for them in Farningham, Kent, the village where her parents lived.",creation,she,Between 1953-54,Farningham
2078,She performed with her sisters in a folk music group and graduated from Kent State University in 1979 with a degree in studio art.,education,She,1979,Kent State University
2079,Between 1866 and 1874 Artz stayed in Paris where he set up his own studio at the suggestion of Courbet.,start org,Artz,Between 1866 and 1874,Paris
2080,Carew competed in the third semi-final on 9 March 2014 at the Folketeatret in Oslo.,competition,Carew,9 March 2014,Oslo
2081,"Mack went on to have various other jobs, and performed his first ""open mic"" slot in 1994, while studying at Brunel University, from where he graduated with a degree in Drama.",education,he,1994,Brunel University
2082,On 9 August 1910 he was fourth Russian soldier and eighth Russian to obtain a pilot’s license in France (number 181).,education,he,9 August 1910,France
2083,From 1916 to 1918 he was an inspector at the Military Academy.,career,he,1916 to 1918,Military Academy
2084,"She died in her sleep, age 81, in Cooperstown.",death,She,age 81,Cooperstown
2085,"Jo?o Cabral was a Portuguese Jesuit missionary, who, along with Estêv?o Cacella, were the first Europeans to enter Bhutan in 1627.",movement,Estêv?o Cacella,1627,Bhutan
2086,"In October 1983, he was appointed sub-prefect outside the framework and became director of Pierre Mauroy's cabinet in Lille.",career,he,October 1983,Lille
2087,"The family had deep roots in New Jersey: John Ogden had built a house in Elizabeth in 1664 after having moved from Long Island, where he had settled in 1640 from Hampshire, England.",creation,John Ogden,1664,Elizabeth
2088,"In 1954 the International Congress of Mathematicians met in Amsterdam, and N. G. de Bruin organised a display of Escher's work at the Stedelijk Museum for the participants.",exhibition,N. G. de Bruin,1954,Stedelijk Museum
2089,"description British English officeholderRalph Burton (d. 1768 in Scarborough, Yorkshire, England) was a British soldier and Canadian settler.",death,Burton,d. 1768,Scarborough
2090,"In the early 1940s, he worked at the Stanley Rose Bookstore in Los Angeles, California, which was a literary hangout for writers Nathanael West,  Clifford Odets, Theodore Dreiser, William Saroyan, John Steinbeck et al.",career,he,the early 1940s,California
2091,"In 1758, Martin and George Washington challenged the incumbents and ran for election to represent Frederick County in the House of Burgesses against Hugh West and Thomas Swearingen.",campaign,Thomas Swearingen,1758,Frederick County
2092,"In 1992 Turner stood in the Hackney South and Shoreditch constituency, however fell short of a majority by 9,016 to Labour candidate Brian Sedgemore.",campaign,Turner,1992,Shoreditch
2093,"From 2010 to 2014, while on leave from Tufts University, Boghosian served as the third president of the American University of Armenia in Yerevan, Armenia.  During that time, he oversaw the creation, accreditation and inauguration of the undergraduate program at AUA—the first American-accredited bachelor program in the former Soviet Union.",career,he,2010 to 2014,Yerevan
2094,"He suffered a stroke while in London in August 2009, and remained in hospital until his death on 10 October, aged 83.",death,He,August 2009,London
2095,"Chusé Raúl Usón Serrano (Jusep Raül Uson in SLA orthography), born in 1966 in Zaragoza, is a publisher and a Spanish writer in the Aragonese language.",birth,Chusé Raúl Usón Serrano,1966,Zaragoza
2096,"In 1603 he was given responsibility for quelling the political uprisings in several towns in Munster which broke out on the death of Elizabeth I, when the municipal authorities refused to proclaim James I as King.",military,he,1603,Munster
2097,"Craig Hinton (born 26 November 1977 in Wolverhampton, West Midlands) is an English former professional footballer who played as a defender.",birth,Craig Hinton,26 November 1977,Wolverhampton
2098,"comedianJessi Ruth Klein (born August 18, 1975) is an American writer, actress and stand-up comedian from New York City.",birth,comedianJessi Ruth Klein,"August 18, 1975",New York City
2099,"In September 1995, he was promoted to the rank of protosyncellus and he was placed as the caretaker rector of the Cetinje Seminary.",career,he,September 1995,Cetinje Seminary
2100,Carlo died unmarried and childless in Naples on 24 March 1884.,death,Carlo,24 March 1884,Naples
2101,"On May 28, 2011, she won the First Prize, Louis A. Potter Award out of 222 entrants at the 2011 Washington International Competition for Piano at the John F. Kennedy Center for the Performing Arts in Washington, D.C.  In September 2011, she was one of six pianists in the world named a finalist for the Arturo Benedetti Michelangeli Prize awarded by the city of Eppan an der Weinstra?e, Italy.",competition,she,September 2011,Washington
2102,"Jean de Fontaney returned to Europe in 1702, where he became Rector of the Collège Royal Henry-Le-Grand in La Flèche until his death there in 1710.",career,he,1702,Europe
2103,"Frederick Prince was born in Boston, Massachusetts on January 18, 1818, the son of Thomas J. and Caroline ( Prince) Prince.",birth,Frederick Prince,"January 18, 1818",Boston
2104,"As part of ADEM in 1991, he won a rock festival in Moscow, signing a contract to record in Los Angeles, but due to the coup and the dissolution of the Soviet Union, the band remained in Ukraine.",performance,he,1991,Moscow
2105,"Charles was one of the headliners on Parliament Hill at the 2007 Canada Day celebration there, playing the evening's longest set, to an audience of thousands.",performance,Charles,2007,Parliament Hill
2106,He then returned to South Africa and joined the  team in 2009.,career,He,2009,South Africa
2107,"MacBride was born in Paris in 1904, the son of Major John MacBride and Maud Gonne.",give birth,Maud Gonne,1904,Paris
2108,"He became the first person to cross the Bass Strait by air when he flew his Boulton Paul P.9 biplane from Stanley, Tasmania to Torquay, Victoria on 17 December 1919.Long was born in Forcett, Tasmania and served as a Lieutenant in the Australian Flying Corps in World War I.",movement,he,17 December 1919.Long,Stanley
2109,"Jarvik was born Lissy Feingold in the Hague, Netherlands on March 17, 1924.",birth,Jarvik,"March 17, 1924",Netherlands
2110,"With her second husband Max Chotiner, whom she married secretly in Ventura, California on December 28, 1926, she became owner of a chain of theatres in the Los Angeles area.",marriage,she,"December 28, 1926",Ventura
2111,She exhibited her work at the Salon d'Automne in Paris in 1912.,exhibition,She,1912,Salon d'Automne in Paris in
2112,"married Marian Edleston, the daughter of a Halifax, West Yorkshire mill owner in 1920 and they set up their home in Ilkley, a town in West Yorkshire.",settlement,they,1920,Ilkley
2113,"Malik returned to India following the end of the war, and in April 1919 he married Prakash Kaur.",marriage,Prakash Kaur,April 1919,India
2114,Georges Robert Cloche de Mont-Saint-Rémy de La Malmaison (died 1 May 1717) was a French soldier and colonial administrator who was governor of Guadeloupe from 1705 until his death in 1717.,death,Georges Robert Cloche de Mont-Saint-Rémy de La Malmaison,1 May 1717,Guadeloupe
2115,"Chris Kahl (born January 2, 1977 in Rockledge, Florida) is an American musician best known for his songs about his home state of Florida.",birth,Chris Kahl,"January 2, 1977",Rockledge
2116,"Zabdiel Boylston was born on March 9, 1679, in Muddy River, Massachusetts (now part of Brookline), the son of Thomas (1644 - 1695) and Mary (Gardner) Boylston (1648 - 1722).",give birth,Thomas,"March 9, 1679",Massachusetts
2117,In 1932 he drew his consultation game with Alexander Alekhine in a simultaneous blindfold exhibition during the World Chess champion's visit to Manila.,performance,he,1932,Manila
2118,He and his first wife Yona arrived in Champaign–Urbana in September 1968 via Paris and Chicago.,movement,He,September 1968,Paris
2119,Daggett served a single term as a United States representative from Nevada from 1879 to 1881.,career,Daggett,1879 to 1881,Nevada
2120,"On December 4, 1886, Heinrichs entered the Franciscan novitiate at St. Bonaventure and received the monastic name Brother Leo.",career,Leo,"December 4, 1886",St. Bonaventure
2121,"He spent the summer of 1997, aged 17, living in and around Llanberis in North Wales.",settlement,He,the summer of 1997,Llanberis
2122,"He accompanied Schwerin in the advance on Prague in 1757 and took a conspicuous part in the battle there, where the Saxon army deserted the Prussians by regiment.",military,Schwerin,1757,Prague
2123,"From 1979 to 1980, he attended the Spring Hill Ordination Scheme in Birmingham.",education,he,1979 to 1980,Birmingham
2124,"She travelled around the country to discuss rights for those with mental illness, and in 2009 she met with New Jersey state lawmakers to discuss how to improve that state's mental health care system.",meet,she,2009,New Jersey
2125,"Maejor received his first gold plaque for his production on Bun B's 2005 album Trill, while still attending the University of Michigan in Ann Arbor.",education,Maejor,2005,University of Michigan
2126,"In 2011 she performed Ramblin' Blues, a solo choreographed by Duane Cyrus and set to music of Aretha Franklin, at the North Carolina Dance Festival in Boone, Wilmington, and Greensboro.",performance,she,2011,Boone
2127,"After he retired from singing he appeared again at Covent Garden in the speaking role of Zamiel, the demon ""Black Huntsman"" in Der Freischütz in 1956.",performance,he,1956,Covent Garden
2128,"In February AD 30, Wu Han captured Dong Xian ’s Dong (Donghai Commandery), chased Pang Meng and Dong Xian to Donghai Commandery, and Wu Han ’s captain Han Zhan killed Dong Xian and Fang Yuren ’s Qianling cut Pang meng, sent to the heads of Luoyang.",military,Wu Han,February AD 30,Donghai Commandery
2129,"Alexander O. Shirley died at Peebles Hospital in Road Town, British Virgin Islands, on 4 January 2016, at the age of 88.",death,Alexander O. Shirley,4 January 2016,Peebles Hospital
2130,"On November 22, 2008, Bisthamin faced career-threatening injuries to the head and spinal cord when he fell from an upper floor of a restaurant at the George R de Silva Shopping Complex in Kandy.",accident,Bisthamin,"November 22, 2008",Kandy
2131,"Pooley moved to the United States in 1986 and lived in Southern California, with an art studio in Santa Monica where he devoted his time to painting.",creation,he,1986,Southern California
2132,"When his father was executed for treason in 1641, William left England for several years, mainly for fear of reprisals (although most of his father's enemies bore no ill-will to his widow or children), and lived for a while in France.",movement,William,1641,England
2133,"Herring died in Washington, D.C., on September 15, 1945.",death,Herring,"September 15, 1945",Washington
2134,"Ernest Alexander Pickup was born April 10, 1887, in Shelbyville, Tennessee, the son of George Alexander Pickup and Rebecca Cannon.",give birth,George Alexander Pickup,"April 10, 1887",Shelbyville
2135,"In 1998 he moved to New York, where he received his semikha (rabbinic ordination) from Eliyahu Ben Haim.",career,Eliyahu Ben Haim,1998,New York
2136,"Castillo qualified to the 2008 Olympic Games in Guatemala in April 2008,  and in May he won the gold medal at the Cheo Aponte Cup in Caguas, Puerto Rico.",competition,he,May,Caguas
2137,"Miles received her B.A. from the University of Texas at Austin in 1957, and then moved to the University of California, Berkeley where she earned a Ph.D. in 1962 working in Esmond Emerson Snell's lab with Jesse Rabinowitz and Edward Adelberg as her advisors.",career,Edward Adelberg,1962,"University of California, Berkeley"
2138,"He obtained an LLB degree from Makerere University, Kampala in 1971, and practised as an advocate of the High Court of Uganda until 1974, being briefly a judge of the High Court.",education,He,1971,Kampala
2139,"Wiebe leads a long-term study which began in 1997, of flickers at Riske Creek, British Columbia.",career,Wiebe,1997,Riske Creek
2140,"Afterwards held several local offices, was a member of the independent company (military) of Baltimore merchants in 1777, and in November 1782 he was appointed private secretary to the President of Congress.",career,he,November 1782,Baltimore
2141,"Lucy Harrison was born on 17 January 1844 in Birkenhead, England as the youngest of eight children of Daniel Harrison and his wife, Anna Botham of Uttoxeter, England.",give birth,Daniel Harrison,17 January 1844,Birkenhead
2142,"From 2014 to 2021, Jones was an attorney at Baria-Jones, PLLC in Bay St. Louis, Mississippi.",career,Jones,From 2014 to 2021,Mississippi
2143,"Later in 1952, Jackson lowered the 100 m world record time to 11.4, running this new record in a meet at Gifu, Japan on 4 October 1952.",competition,Jackson,4 October 1952,Gifu
2144,"They moved to Switzerland, where Francisco Eppens Campillo, the artist's father, was born in 1888.",birth,They,1888,Switzerland
2145,"Mamoru Samuragochi (佐村河内 守, Samuragōchi Mamoru, born 21 September 1963) is a Japanese composer from Hiroshima Prefecture who falsely stated that he was totally deaf.",birth,he,21 September 1963,Hiroshima Prefecture
2146,"He appeared before the privy council in 1616, which bound him to exhibit annually one of his principal kinsmen; that he should reside at his castle at Breachacha, and that he should not keep more than one tun of wine.",settlement,he,1616,Breachacha
2147,The couple fled Germany in 1937 when Ernst accepted a Rockefeller Fellowship at the University of Chicago.,movement,Ernst,1937,Germany
2148,"After his return to Japan, he collaborated on Le Corbusier's National Museum of Western Art in Tokyo in 1959.",creation,he,1959,Tokyo
2149,He went up to the University of Sydney and in 1892 graduated as a Bachelor of Arts and in 1898 LL.B.,education,He,1892,University of Sydney
2150,She married Kostas Stylianopoulos in London in 1922.,marriage,She,1922,London
2151,Resanovic moved to the United States where he has been a naturalized citizen since 1976.,settlement,Resanovic,1976,United States
2152,"In 1948, Kyle returned to Bryan, Texas, where he lived for the rest of his life.",settlement,he,1948,Bryan
2153,He graduated in botany in 1952 from the University of Hawaii with an M.S. and in 1957 from Stanford University with a Ph.D.,education,He,1952,University of Hawaii
2154,"He then went to NTNU from 2003 to 2004, and studied state science, international and imperative politics and got a ex.phil in political risk.",education,He,2003 to 2004,NTNU
2155,"Starting in December 1904 he taught a course on Villon at the école des hautes études that was attended by, among others, Michel Bréal, édouard and Pierre Champion, Paul Fort, Max Jacob, Auguste Longnon, Pablo Picasso, Catherine Pozzi (daughter of one of his doctors), André Salmon and Louis Thomas.",education,he,December 1904,école des hautes études
2156,"Born in 1864 in Pomerania (now part of Germany) Albert Zahn immigrated to the United States as a child, settling in Door County, Wisconsin where he worked as a farmer.",birth,Albert Zahn,1864,Pomerania
2157,"In 1926, he tied for 3rd-5th in Budapest (1st FIDE tournament, Mario Monticelli and Grünfeld won).",competition,Grünfeld,1926,Budapest
2158,"They had three children:He died on March 14, 1918, in Thomasville, Georgia, and is interred at Lowell Cemetery.",death,He,"March 14, 1918",Thomasville
2159,"He returned to Braunschweig in 1868 to become a teacher for Ancient Greek, Latin, history, and geography at the prestigious Martino-Katharineum secondary school.",career,He,1868,Braunschweig
2160,"Richard's second wife in 1630 was Elizabeth Sandys (née Cornwallis) who in 1657 endowed a grammar school in Pickering, which continues today as Lady Lumley's School.",start org,Richard,1657,Pickering
2161,"In the fall of 1864, Rockwell was assigned to survey work in New York Harbor.",movement,Rockwell,the fall of 1864,New York Harbor
2162,He joined Had?m Süleyman Pasha's campaign to India in 1538 (see Ottoman naval expeditions in the Indian Ocean).,military,He,1538,India
2163,"She debuted as a lyricist in 1999, on Kotor Music Festival, where she performed her song ""Sad mogu da ti ka?em sve"" in a duet with Igor Perazi?.",performance,She,1999,Kotor Music Festival
2164,"Octávio Barbosa died on January 31, 1997, in Petrópolis, RJ.",death,Octávio Barbosa,"January 31, 1997",Petrópolis
2165,"As an artist her religious paintings are on permanent display at various churches and she was invited to mount a one-woman exhibition, inaugurated October 16, 2009, at the Mision del Sol.",assembly,she,"October 16, 2009",Mision del Sol
2166,"After the Fall of Kabul in 2021, he left the city.",movement,he,2021,Kabul
2167,"Aldwinckle lived in Cologne and Berlin, accompanying her husband John in his role at MI6, moving initially in the 1950s.",settlement,John,the 1950s,Cologne
2168,"On December 17, 1994, Jugan and Boo Boo Henderson beat Buddah and T. Rantula in a tag team street fight match in Parkersburg, West Virginia.",competition,Jugan,"December 17, 1994",Parkersburg
2169,"From 1962 to 1964, Brunett served as a chaplain at the University of Michigan in Ann Arbor.",career,Brunett,From 1962 to 1964,University of Michigan
2170,"It was his last voyage; he died at 42 Half Moon Street, Piccadilly, London in the annexe of the Naval and Military Club on 11 September 1921 of heart failure following influenza.",death,he,11 September 1921,Piccadilly
2171,"Clay died on October 12, 1924, one day shy of her 85th birthday, and is interred at Lexington Cemetery.",death,Clay,"October 12, 1924",Lexington Cemetery
2172,"Born in Flatbush, Brooklyn, on October 5, 1855 to Nancy Cassidy and Francis Anderson, Walker was the youngest of five children.",birth,Walker,"October 5, 1855",Flatbush
2173,"He was found dead at his home in Camden on February 5, 1934, having been ill for a fortnight.",death,He,"February 5, 1934",Camden
2174,"On 6 September 1945, Sturdee received the surrender of Japanese forces in the First Army area from General Hitoshi Imamura, the commander of the Japanese Eighth Area Army, and Admiral Jinichi Kusaka, the commander of the South East Area Fleet, in a ceremony held on the deck of the British aircraft carrier  at Rabaul.",military,Sturdee,6 September 1945,Rabaul
2175,"In 1983 he returned to Adelaide to assist the ailing Archbishop James Gleeson, and in 1985 he was installed as Gleeson's successor.",career,Gleeson,1983,Adelaide
2176,"In 1967, with Attardi, Caruso, Gianquinto, Guccione, Manzo, Laura Mazza and Alberto Mondadori, he founded the Galleria Il Gabbiano in Rome.",start org,Caruso,1967,Rome
2177,Hilton migrated to Australia with his family in 1970 and grew up in the Melbourne suburb of Warrandyte.,settlement,Hilton,1970,Australia
2178,"Yurkevich was in 1851, appointed the position of instructor in Philosophical Sciences at the Kyiv Theological Academy.",career,Yurkevich,1851,Kyiv Theological Academy
2179,He was vicar of Brechin parish and a canon of the cathedral when provided bishop of Brechin 4 July 1488.,career,He,4 July 1488,Brechin
2180,"Dickens and Seeger became active in the Baltimore-Washington area bluegrass and folk music scene during the 1960s, playing in living rooms and later on in bars with Bob Baker's bluegrass band as the area's folk movement began to gain traction.",performance,Bob Baker's,the 1960s,Baltimore
2181,"Between 1669 and 1676 he served as a governor of Dutch Malabar and employed twenty-five people on his book Hortus Malabaricus, describing 740 plants in the region.",career,he,Between 1669 and 1676,Malabar
2182,"He moved to Cornell University in 1947, where he served as chairman emeritus of the Department of Economics (a position he held for the rest of his life), as a member of the Board of Trustees of the university and as Dean of the College of Arts and Sciences.",career,He,1947,Cornell University
2183,"Brandon Stoddard was born in Bridgeport, Connecticut in on March 31, 1937.",birth,Brandon Stoddard,"March 31, 1937",Bridgeport
2184,"He married in Roschütz on 31 October 1819 Caroline Christiane Freiin von Brandenstein (Gütterlitz, 2 October 1798 – Dresden, 17 October 1880) and had issue, among whom a daughter Caroline Adelheid Ernestine von Sch?nberg (Hain, near Gera, 31 July 1826 – Schloss Moraván, 16 February 1894), who married as his first wife in Weningen-Auma on 6 March 1849 Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau (Asch, 3 October 1822 – Pressburg, 19 November 1909), Lord of Duppau in the Duppau Mountains with Sachsengriin in the Kingdom of Bohemia, and of Moraván with Duzó, Hubina, Nagy and Kis-Modó in the Kingdom of Hungary, and had issue.",marriage,Hubina,31 October 1819,Roschütz
2185,"In 1981, he was assigned as an operations and tactics instructor at the Marine Corps Command and Staff College at Quantico, Virginia.",career,he,1981,Quantico
2186,"In 2011, Higgins travelled to where Boucher was living in Nashville to record her third album, which is co-produced by Boucher and Brad Jones.",creation,Brad Jones,2011,Nashville
2187,In 1934 he was awarded an honorary Doctorate of Law from the University of St Andrews.,education,he,1934,University of St Andrews
2188,"Jongsma began collaborating with husband Kel O'Neill in 2006 while attending an artist residency in Prishtina, Kosovo.",assembly,Jongsma,2006,Prishtina
2189,"Aquilina made his official debut, as a lone sailor, at the 2000 Summer Olympics in Sydney, where he placed thirty-seventh in the Laser class with a remarkable grade of 272, surpassing Singapore's Stanley Tan by a three-point advantage.",competition,Aquilina,2000,Sydney
2190,"Wood's first track appearance in his Kelly Racing Commodore was at the V8 Supercars Official Category Test Day, at Winton Raceway on 9 March 2009, where he was joined by the other three Kelly Racing entries, and all other Victorian-based V8 Supercar teams.",competition,Wood,9 March 2009,Winton Raceway
2191,"Thereafter, he entered the United States Military Academy, more commonly known as West Point, at the age of seventeen.",education,he,the age of seventeen,United States Military Academy
2192,"Victoria suffered a stroke soon after attending the christening of her fifth grandchild, Mechtilde of Leiningen, in February 1936.",assembly,Victoria,February 1936,Leiningen
2193,"John William Bauer (born February 6, 1969, in Champlin, Minnesota, United States) is an American cross-country skier.",birth,John William Bauer,"February 6, 1969",Champlin
2194,"He was awarded the Medal of Honor, along with First Lieutenant Wilber Wilder, for rescuing a fellow soldier under heavy fire while fighting the Apache at Horseshoe Canyon on April 23, 1882, which he received fourteen years later.",military,He,"April 23, 1882",Horseshoe Canyon
2195,"The next day, outside of Metz, he stayed behind while his platoon withdrew and then destroyed another enemy machine-gun nest.",military,he,The next day,Metz
2196,That same year he moved to Los Angeles to study film scoring professionally at the University of Southern California's Scoring for Motion Pictures and Television program.,education,he,That same year,Los Angeles
2197,He moved to London in the mid-1990s and began working with producer Joel Bogen.,movement,Joel Bogen,the mid-1990s,London
2198,"At 18, she moved east to Manhattan and received a BFA from the Tisch School of the Arts.",education,she,18,Manhattan
2199,"He was educated at University College School, and studied for a time at University College London, and the University of Edinburgh and University of Cambridge in 1898 and achieved Doctor of Civil Law in University of Oxford in 1903.",education,He,1898,University College School
2200,"From 1989 to 1994 she worked across East London Boroughs involved in mainly hate and domestic violence investigations, and was given responsibility for Community and Youth involvement Police Volunteer Cadets and Young people vulnerable from being involved in crime.",career,she,1989 to 1994,Boroughs
2201,"Clive Crook (born 1955 in Yorkshire, England) is a former columnist for the Financial Times and the National Journal; a former senior editor at The Atlantic Monthly, and now writes a column and editorials for Bloomberg News.",birth,Clive Crook,1955,Yorkshire
2202,"Richard of York was born about 20 July 1385 at Conisbrough Castle, Yorkshire, the second son of Edmund of Langley, 1st Duke of York, and his first wife, Isabella of Castille.",give birth,Isabella,20 July 1385,Yorkshire
2203,"Cordovez returned to Panama in 2011 and participated in the female version of Neil Simon's The Odd Couple, where she played Vera.",performance,she,2011,Panama
2204,"Nelson played Little League Baseball in Henderson, Nevada where he was a 5-time All Star and member of the 2011 Nevada Junior State Champions coached by his dad.",competition,he,2011,Henderson
2205,"The Americans, Richard T. Ely, Simon N. Patten, Edmund J. James, and Joseph F. Johnson studied under Conrad at Halle in the late 1870s, thus profoundly influencing the Harvard University Department of Economics.",career,Conrad,the late 1870s,Halle
2206,This would certainly mean that he never met Caravaggio in Rome; that artist had fled Rome on a murder charge in 1606.,movement,Caravaggio,1606,Rome
2207,Dubai Abulhoul is an Emirati author and columnist who was born in the United Arab Emirates on 1996.,birth,Dubai Abulhoul,1996,United Arab Emirates
2208,"Simón Bonifacio Rodríguez Rodríguez (Juncalillo, Gáldar, 15 April 1921 – Las Palmas de Gran Canaria, 17 August 2012) was a Spanish teacher, businessman, judge and politician.",birth,Simón Bonifacio Rodríguez Rodríguez,15 April 1921,Juncalillo
2209,"From 1941 to 1942, he worked as an underwater welder for the J. A. Jones Construction Company in Brunswick, Georgia building Liberty ships.",career,he,1941 to 1942,Brunswick
2210,"When Arthur broke his arm ice skating in Tokyo in May 1947, the Australian Associated Press reported that ""[d]octors said he behaved 'like a soldier'"".",accident,Arthur,May 1947,Tokyo
2211,She met with Chaplin during his brief return to the United States in 1972.,meet,She,1972,United States
2212,"Laache was born in 1831 in Ullensaker, Norway.",birth,Laache,1831,Ullensaker
2213,"He died of his injuries on 26 August 1918, and was buried in Plot 6, Row A, Grave 8, Montecchio Precalcino Communal Cemetery Extension, Italy.",death,He,26 August 1918,Italy
2214,Ackerman was a featured author at the Miami Book Fair in 2017.,assembly,Ackerman,2017,Miami Book Fair
2215,He was born into slavery in Missouri in the early 19th century and was sold at auction more than once across the state.,birth,He,the early 19th century,Missouri
2216,Hillsborough County detectives say Shakespeare died April 6 or 7 in the single-story ranch home in Plant City.,death,Shakespeare,April 6 or,Plant City
2217,"Back at Kingston, he became Principal of the College of Art in 1962, progressing to Assistant Director of the Kingston Polytechnic and was Head of the Division of Design from 1970 until retirement in 1972.",career,he,1962,College of Art
2218,"Fleming was born in Sunville, Ardpatrick, County Limerick on 16 February 1948, the eldest of five children to John J. Fleming, a farmer, and his wife Nola (née O'Grady).",birth,Fleming,16 February 1948,"Sunville, Ardpatrick"
2219,"Renetta Yemika Lowe-Bridgewater (September 30, 1982 – December 20, 2010), known by the stage name Magnolia Shorty, was an American rapper in the New Orleans-based bounce music scene.",birth,Magnolia Shorty,"September 30, 1982",New Orleans
2220,"Pendleton died the next month on July 26 in Newton, Massachusetts of a paralytic stroke.",death,Pendleton,July 26,Newton
2221,"Pratt died in Utica, New York on April 27, 1840, en route to Saratoga, New York for rest.",death,Pratt,"April 27, 1840",Utica
2222,"She became president and professor of English at St. Mary-of-the-Woods College, serving from 1998 to 2007.St",career,She,1998 to 2007.St,St. Mary-of-the-Woods College
2223,"Gail Zappa died in Los Angeles on October 7, 2015.",death,Gail Zappa,"October 7, 2015",Los Angeles
2224,"Jean Jules Amann (8 March 1859, Lausanne – 1 February 1939, Lausanne) was a Swiss pharmacist and botanist.",birth,Jean Jules Amann,8 March 1859,Lausanne
2225,"On the other hand, in 1502, the Aragonese Corts gathered in Saragossa and pledged an oath to Joanna as heiress-presumptive, but the Archbishop of Saragossa expressed firmly that this oath could not establish jurisprudence, that is to say, modify the right of the succession, except by virtue of a formal agreement between the Cortes and the King.",assembly,Joanna,1502,Saragossa
2226,"He fled to Switzerland, but managed to return to France in 1819 thanks to the protection of his friend Boissy d'Anglas.",movement,He,1819,Switzerland
2227,"Barclay de Tolly died at Insterburg (Chernyakhovsk), East Prussia, on 26 May 1818 (14 May, Old Style) on his way from his Livonian manor to Germany, where he wanted to renew his health.",death,Barclay de Tolly,26 May 1818,Insterburg
2228,"On January 24, 2017, Bobek married circus performer Pedro Santos Leal in Florida.",marriage,Bobek,"January 24, 2017",Florida
2229,He graduated from Las Cruces High School in New Mexico in 1993 where he won several state track titles and also played on the basketball team.,education,He,1993,Las Cruces High School
2230,"Mira Gincburg was born on 13 January 1884 to Dr. Rafael Saveliev and Ravka Salmanowa Gordin, a Jewish couple, in Dinaburg, now in Latvia.",give birth,Rafael Saveliev,13 January 1884,Dinaburg
2231,"Plummer's wife, Zora B. Rucker graduated from the Armour Institute in Chicago in about 1905 and worked as a lecturer in home economics, often traveling throughout the country.",education,Zora B. Rucker,about 1905,Chicago
2232,In August 1930 he was 3rd in the handicapped race Giro Aereo d'Italia in Italy.,competition,he,August 1930,Italy
2233,"In September 1942, Rostow arrived in London to serve as an intelligence analyst with the Enemy Objectives Unit, serving until the spring of 1945.",career,Rostow,the spring of 1945,London
2234,"He next attended Syracuse University's Maxwell School of Citizenship and Public Affairs, earning an M.A. in Economics in 1966 and then a Ph.D. in Economics in 1970.",education,He,1966,Syracuse University's
